Signal Strength (dBm),Network Latency (ms),Packet Loss (%),Connection Type,Network Congestion Level,Average Data Throughput (Mbps),Number of Users,Network Availability (%),Signal to Noise Ratio (SNR),Number of Active Connections,Weather (Temperature in °C),Wi-Fi Interference,Network Downtime (hours),Customer Satisfaction Score,Traffic Volume (GB)
-58.624589162565165,30.766090704516596,0.5822988592003322,2,0.810317393879364,48.861796738164166,259,99.67680086635308,20.898798303011645,15,13.998183958224537,6.381133623753742,2.5805530894606354,1.9578090863782687,66.2624014400032
-52.811437646204865,24.882364420576966,0.5041541840563895,1,0.6967981195512929,50.715331820409446,758,99.3381083348721,22.803846796798993,20,14.43985156439548,12.024620070912539,2.0537154499210777,5.376579621430297,63.533214509582564
-55.06415560167212,8.952504942809853,0.39263071538025357,2,0.7290666493113049,62.25421061458667,918,99.73578306362711,21.939486830266198,30,24.990522977144664,12.912245336801298,1.6754530527868021,4.33968610157364,90.48280750725303
-48.42876333702363,50.42177910534731,0.5458317939125442,2,0.7328534753913948,71.93925151804444,848,99.02068504693577,25.436799408040528,72,25.551151586645986,11.634191653756798,1.5888491931796098,4.576907411596017,96.66570160182711
-54.54012037760606,31.553249991994015,0.42851927410085294,3,0.4727858344429392,65.60366817504881,511,99.72188015731078,25.659137476540533,98,27.224041521541785,7.428827689269534,2.5827282914747958,4.328142027722776,102.81481959293524
-57.06151850667646,33.981472651225374,0.6794524848392212,1,0.5411010397522225,58.7713461937785,786,99.46139343553968,15.612174588888564,39,28.75128736180522,8.073568033845977,2.343479379355517,4.455682532396747,65.61742787031625
-42.67175615539223,29.420922501230912,0.6544841462418258,1,0.6394936309278029,55.89283432957596,683,99.39699568720276,22.51595211749361,91,19.41750293522864,8.276553616051636,1.558335711011126,4.38429923532174,96.32558359564166
-51.12888150243268,22.64883199275412,0.5604097426355568,3,0.6438401323623131,44.93051309740374,483,99.49821940706417,12.975145999382907,98,26.854120746190326,5.486665989577274,1.316976678450472,5.472087448444873,89.00800916531429
-49.662358976560384,28.140755190512294,0.6361006704769774,3,0.5800717578035868,52.952297411054325,974,99.20037192221042,14.560402613881006,30,26.784584829662975,11.505931754585271,1.5575524055141596,6.474623460380233,74.20714565995975
-57.12374093106728,14.006052378056888,0.5064791350123381,2,0.774958257137363,40.86950816003268,738,98.73281018838335,18.483105304545806,32,29.68106554691735,9.566544342974238,2.4944592565796024,5.085150860202327,73.07352076352632
-52.72191362262591,52.77086498053305,0.5765437494375016,1,0.7002118421017473,53.75782133684774,996,98.9774135966662,11.497474597309218,70,30.015624976549976,14.289038884638622,1.5279762450628915,5.24593089794466,82.06796578126753
-49.445387051450666,17.65488001577604,0.6477720295302075,1,0.6785305452613162,54.400506606935735,807,98.79408275424305,16.11175713885797,39,20.051649644184923,7.077622582176167,2.230013964217695,3.5497222682742984,89.24734616343235
-55.75496788711151,19.680337161528207,0.5245498681794313,3,0.5743844725492613,30.391548585318084,284,99.38607160513943,9.13800817686303,55,21.602215783558265,9.557142432783213,2.846433382458401,3.779898691918101,63.132362744465176
-48.12150990827164,25.597407956135996,0.4744812828485716,3,0.6955455135755211,50.38738609191707,761,99.84135426954643,19.8997924572325,69,23.039317886848227,6.256965566375673,1.6021258323990297,4.3643494937985485,80.58642045887848
-53.00319344959402,42.88075724852378,0.3295378041822884,3,0.4373315244001388,54.14874899089105,313,100.24181885377517,28.213002895820235,27,17.864313722287406,8.852714191125937,1.811528214203501,4.535671320548474,52.48488081965618
-51.45846874896638,30.14508999262654,0.4916866474278506,1,0.6837043689194159,49.16290142860978,193,99.26941163981674,20.160149650082573,71,27.53993584350689,12.366353002313051,1.9842815162784257,4.374181694243159,90.19570162805093
-53.008533061146984,17.638642039695377,0.5823423184562311,1,0.7063183668807755,53.580488388565705,669,99.41961068891342,20.17438874179062,54,20.939168020985274,10.166912460706238,1.1973571988376053,3.0356205419400313,81.07221404151326
-40.73860907745531,42.543383607573396,0.5945633427567629,2,0.7241914984321498,36.58277756643686,318,100.44130169199714,18.203193649596212,70,27.84566254767124,7.098770249625179,1.6449897919530405,3.5798767152135667,69.91899887784689
-50.06748612368967,37.31000626785482,0.550436506571841,3,0.543589823652072,42.24135694439741,318,99.29863692209412,24.88409680835833,68,29.564428102601966,5.5019733348520035,2.088996675991598,3.6321414789115742,70.22971440467515
-55.2885546447795,35.384349572164524,0.445870090503776,2,0.7224816736691474,60.349381631639325,112,99.18664846047623,19.740937890947553,44,20.588440169474072,8.994401310878764,1.5137839947004879,4.462192064015495,62.26567470848629
-45.88727543948406,37.157342411708406,0.3023178431052409,1,0.5958568730135457,50.00571665645777,522,99.43479888477374,14.503365396882064,31,13.272425014909462,10.616822088726206,3.0687154674564336,3.679078459045522,80.8854510459691
-56.10421824985511,53.94361900582451,0.45047849019952646,2,0.6187530167707666,53.39878981314909,894,99.28775331784047,20.848290966657167,33,21.85674538665342,12.460423409075698,1.7537584461562723,3.796660054960017,82.5327884386594
-48.95568202497622,51.85094895036112,0.46956551289460485,2,0.7717931385822664,44.53478839291421,522,99.16072287675019,27.762293452647896,96,28.685915819783414,7.7600360802480814,1.9112291421061174,3.7354491501759592,75.27204810496406
-59.798350619398875,23.132846569967047,0.46870710328099857,2,0.9014113723359743,50.194940232768566,585,98.79612052048361,12.862988099197644,60,28.620582756815004,7.683660998260313,1.7128882295325896,4.626464185623583,77.86496338395638
-56.640930244492154,46.23884992811152,0.5618556356977924,3,0.7051358758802679,26.979878198648013,476,100.29631305859597,15.295052150401608,74,21.49757143824298,16.370068866341377,1.8784680089787105,5.2015414114024505,54.65272488664921
-49.015693820654384,33.831681897589,0.698567641101484,1,0.6182904541359767,58.460119384207665,751,99.77535659156048,19.47783753752661,24,22.609280252474225,9.927709143073965,1.6388024965183448,3.201453224372415,87.62973532649174
-46.30766710002295,34.99095816137749,0.5123529201841093,3,0.7188670447509998,68.0793283895247,507,100.30822568800394,18.247503475224164,37,21.237142330222664,12.860981417939348,0.9622977560560775,4.7617831274404345,77.02384502759355
-49.14315859405015,13.077291683566713,0.4783268210843538,2,0.7939029157499145,39.34982450785359,885,99.97734874751931,22.099888232013,51,19.031719551749454,6.203113562063811,1.8198564859679982,3.0945469443336044,89.80985437627332
-50.5782414119412,28.29614234611804,0.47407781869959076,3,0.7620997565872735,40.596678124904315,218,99.50780045330384,15.0851356528343,29,13.421647506597338,10.965475950709177,2.9034567705831673,4.651216059459794,74.04638303960017
-51.505518477946445,21.87176409663435,0.5124384766907715,1,0.9743112872463746,54.408798982374826,370,98.66493807918901,17.35138046822501,52,24.598247854645514,12.214830789278553,2.8143710994800335,2.7336991064390284,71.76445017916565
-57.39260995183714,38.28058814893309,0.4171706239651601,1,0.6284662430905332,64.73879290506746,196,99.0454415906611,20.26221407064853,89,19.582228351908,10.173360767653628,1.4726109223287183,5.381572080317922,81.16571106231252
-53.59922104197354,40.710805004028046,0.5120198558746055,2,0.7252231479919298,49.97902682617055,941,99.32566974736201,20.4336145265396,78,23.07363643897814,4.77829593358612,1.2019310083578214,3.7264910593386267,79.73664631849385
-52.303193854798934,9.255136489836886,0.54508123363318,2,0.8548917953418202,37.70681979187496,146,99.01805529747321,33.01687548601421,72,25.389612984799626,7.276387844496356,0.9735720643480648,4.215624256584497,46.01087612775277
-44.714388868905424,29.779651359957295,0.5209686063574488,3,0.8486159237018531,47.91382763362127,763,98.59018941095356,23.916444188593303,52,26.518366648851806,11.10223279904044,1.5135222780791073,4.1140156864463435,66.36214368269529
-48.281908552157695,41.21861504794252,0.5457541934004781,1,0.5049922073475619,39.70067919688208,272,99.05454679779126,12.297175764150023,88,18.55917851770169,5.205565457888596,1.7221341695244996,5.358901355742427,74.16954560698373
-58.81520077681367,28.13321037686555,0.5433747609348535,1,0.6996642379960019,43.31153707131224,886,99.4029647577569,14.923124531830556,11,17.11641964282684,17.598819126666513,2.2011514417205404,3.3407984395021573,41.061725996192465
-48.379580153026026,37.29063645002364,0.3228103317753556,3,0.84845207658487,46.959589008466835,446,100.29495981130935,13.192021812527225,97,24.94311299094171,13.419193191358138,1.7924283968862451,3.945523301407529,96.028354725956
-51.92541140208158,33.511654676270844,0.5636870158395403,1,0.9890642990399137,40.70675411758373,336,99.16344015451273,28.069864480582748,86,25.30558585095047,5.478853249542086,2.4391754867775868,4.1560321097037844,83.07409563670076
-53.38461000152979,33.41660231952626,0.4328985154337546,2,0.7703795883750818,42.22094275825435,642,99.82768156063743,14.654078691691112,32,19.182219702991038,10.787544659992708,2.296696009665261,4.974245840241338,73.54276519784042
-46.941618555795664,27.286850219317024,0.39041608369960423,2,0.6632136706303516,50.745340002222434,312,99.01161735327936,22.936811688673423,21,26.973775010438555,10.227536079834055,2.1731435192747064,3.239595265867571,76.239357116299
-44.845002387520246,17.834191958642904,0.38955481721450036,3,0.5990796847562609,52.1503581213723,371,99.38779643181942,22.435575792685352,55,21.80973509733025,13.266855897585335,1.9392916516820484,1.86477912055474,65.35230672946146
-45.34359940441901,18.784698525749725,0.543354161047253,3,0.9218743357530849,35.76019666179033,506,99.48281186624352,12.671421393425799,42,18.28446047883524,2.5091814386493283,2.493789191607152,2.8522361669883476,57.66954243949544
-54.19608761611319,37.09352514455317,0.4777425072775147,3,0.7728741586465758,53.96381722509337,177,100.30007446589204,17.905626601861798,53,17.08439137720587,10.509233306563564,2.3171797596454144,4.724292970479914,84.60852669689667
-51.54606187925607,30.19458255518883,0.3318031216014589,2,0.6151933073114582,46.18066136868602,890,98.16486122678091,18.677910443564482,34,24.441072416216812,6.393658842064347,1.2700431268822545,4.075854171326831,70.95245934069489
-48.34368284298218,28.61487755392775,0.5478037815192284,3,0.6796843633666219,57.20261523552609,652,99.09430702998726,12.095094220788235,44,23.20105163456514,11.316485242711405,2.2642155961785955,3.930236392516091,86.18109738258634
-45.122274364388204,25.761099576776473,0.35603918692011727,1,0.7310186516828704,57.804975206878595,245,99.62345669903368,28.924994509726925,44,23.89897167589163,6.737020421757829,1.712653818493526,3.1539314144301622,54.16005577179679
-52.39587118922645,26.948111545192482,0.5139821358518211,3,0.7543806653888118,44.554588190449515,111,99.70901049333277,20.85181670102435,74,16.470008552345664,14.107418348824954,2.459516510307572,4.069539837703508,82.10945696752903
-50.92829488331908,40.46911794488139,0.5238498925673054,1,0.610038134245421,56.14147694037733,859,98.91145944914547,27.965669700020822,52,10.873784169067438,10.92742606474847,2.3284951234520994,4.5091247043587375,92.29120546394086
-55.531674870030145,26.647559181319732,0.5885577081695045,2,0.6385809581874506,41.6304396030117,328,99.48073922095907,31.04029961514603,77,25.053817717051057,4.593254033676487,2.8595433869309432,3.881649756699043,59.360950020367206
-55.98103312040335,16.589352866984314,0.6781684786466852,1,0.534706543762704,63.2376206283529,942,99.5064265345778,20.798044621910208,71,28.00399045136046,2.344692912319587,1.0010488318320907,5.296749691673994,111.22865026792925
-45.93737088802901,37.43651775540173,0.3635323674099458,1,0.8039762289604782,42.00863799143535,790,100.23579038935917,21.867953131512024,40,13.903982289110072,11.494911769627063,2.153567667687986,4.844041412872905,78.4279840339732
-43.21879985714588,27.951233361352827,0.49475261439369506,1,0.6658381533229684,53.527496086255134,440,99.60422393351216,16.06104073869199,37,19.895920668153092,7.915365099004487,1.6748746672156338,3.8680280481418845,95.49303834419294
-50.36005060790167,30.313958655327763,0.4723664704955783,2,0.7466321649183292,48.1239085535572,771,99.42909901434003,26.667933430295292,20,35.19596908870055,11.721074743181653,3.065118041999389,4.690475235679246,48.87712352626309
-44.98233551053988,46.075783063995104,0.5433749685960962,1,0.8422258508576327,39.83105485762399,832,99.14813796318657,19.76089154015016,41,24.815815460153736,8.020678339971287,0.48258275540637907,4.068890237116888,80.82357029743598
-48.191819874761826,29.79439442649493,0.5215668770933619,1,0.7219870142373945,59.00915761785309,938,99.8038123604202,17.883139785663072,75,28.538220000554887,13.610535457023357,2.2185854650980876,4.307216587853861,91.31379123073842
-53.225598773025624,32.891836731187254,0.464745375726338,3,0.6887029524050932,43.85868191133209,263,99.37258303224455,16.16162708732536,69,30.148086963323077,13.027709831896946,2.278522073891594,3.7685417734016555,68.88758153034128
-48.19302197245793,18.210765087016746,0.45590978113891445,3,0.7193921476883933,32.99927835021694,779,99.21669503609043,20.366309160849465,60,19.57881995665203,11.295905265787843,0.9311005456732926,4.179026709720182,75.3696104456313
-42.309817167670154,27.803305476490397,0.38835491448159526,3,0.7063193603850226,21.1798663683197,481,99.00994305154458,23.107601728933332,68,33.70588339456512,7.302299751639069,2.2596199488590414,2.5124651377127885,47.91551650545915
-50.17913019554976,36.09526045208601,0.598786158240651,1,0.8246164997877945,41.24955305572029,830,99.35156152830909,21.018228734961912,86,13.309981502725336,8.24171403772053,0.9913290640748074,3.2023241623315575,111.60989798357961
-42.17678172092997,14.446262661587577,0.545920418159953,1,0.7310838397538789,63.75908419298973,681,99.84925115822296,22.312409741373166,26,24.544482620407283,9.222920608570007,1.6379634019249,5.181268994033964,98.66592396771784
-63.098725520448724,32.00845093115709,0.5917768197795137,2,0.6455598980421087,62.5773846750366,521,99.24346584766914,18.92168324770744,77,23.72683476259693,6.850761832962501,2.2044699684597857,3.6784511779955027,91.5475833016844
-45.89048747812388,31.007910726448063,0.46896038635244863,1,0.804784905688975,42.81401597652468,537,99.51722119410638,22.524118712177025,47,16.483318946716565,11.984268298766185,1.5113307968161371,2.9463677499697507,60.601815785154315
-49.564764658809146,30.412874555874392,0.43431645313055695,1,0.8230484356358352,46.25545085298621,871,99.2215353598017,22.370602065676383,73,18.28997936384997,9.022628892995575,2.0382997529286877,5.657535158432628,85.56752866349797
-51.49503675232934,40.37158898658243,0.3921684933370772,2,0.5661669373179536,45.35086924443977,162,99.58520514516924,26.07417086098948,12,18.933118374746964,9.454514949414742,1.99658851092565,3.7028058663550096,58.63757472008235
-49.541196117322485,33.344385148485216,0.535891758374066,1,0.8532783884768105,36.66567854550431,345,99.5416373147574,24.031308995320853,63,14.774720204627126,8.439229216116983,2.2674230237762414,4.535010247255315,63.6215650898767
-59.93784457300446,44.78071898356444,0.3960206775471765,2,0.7364711773208485,40.51168128376657,149,99.10640773448937,20.77311583245747,85,14.93326502900646,9.945876103822991,1.465769026343175,3.488413256650761,82.04537837884232
-51.09835943918756,20.06410484405964,0.6848663068966551,2,0.7283269950146598,59.81149519400785,897,99.91592358731069,22.073773552397995,53,20.394524461276482,10.526435491629769,2.4627432402389045,4.923998894114308,91.11416035981217
-48.21443714244127,31.35924567218348,0.36923574189065594,3,0.8006624631596515,55.038878713794006,333,98.77195070461896,14.243344762570313,91,19.573426049751493,8.356427913580607,0.5549387734729014,4.004985249474316,88.8707848214103
-42.61052977629242,30.844667863899474,0.5273660119212502,1,0.643302360899572,52.73088858529889,627,100.06761589862028,26.389352618435773,39,18.717704142890714,9.290170633857647,2.759496253015567,2.324589371222709,88.52139021953833
-52.59135109136824,19.3074550624492,0.6566854707213786,3,0.7954164514190923,36.648533883391416,615,99.66458108280365,18.75224193801892,84,26.160913048857502,8.602946299211741,1.8715254128040961,6.073903142361415,61.0201829570681
-54.04246801446594,39.56295002091346,0.5599089759263809,1,0.6623224530262144,51.007032140339774,381,99.79394015164368,19.376450746158383,97,18.245953914428757,8.610573611787288,1.922564623729897,3.4158511910719738,81.59446218435342
-52.508785217922686,53.24673305852818,0.517567371249178,3,0.5525049320289661,26.961550305119783,768,98.67468339190906,17.60796803089013,94,23.33949591407511,10.061746155096614,2.154134912384099,3.6837032767320883,81.3420047724054
-45.42298941148963,29.82993925516169,0.40315163530381043,2,0.6002243720893066,58.42802691260533,319,99.47448891914144,15.566558353464124,63,21.99481511491007,2.326528821210456,2.0954469760353476,2.7900942251322007,77.8574076249774
-48.35624445170158,35.05021088273767,0.3618230811432296,2,0.7567021832903226,52.58574900737142,447,100.2668611211898,15.91227165308942,57,20.42296058526653,14.207733921648039,1.998682322433314,2.2029085386076144,66.45728897084956
-52.648801018835194,30.845184758153273,0.5770050108917586,2,0.6054531660005341,36.5476754790017,463,99.42733835759562,14.612033024748943,44,15.159535753267264,12.288813123457837,2.6236561361321966,5.096195205804606,53.486420718352676
-47.43366283443322,22.86415330092824,0.6506147240774947,2,0.8610076123189649,66.16425557490041,662,99.56515747518227,18.80281879879675,77,21.145921565983414,10.481439641605295,1.2365230802803981,4.208018820475751,97.46270789675285
-49.5146122532598,11.792397221979837,0.4561150009521828,1,0.8189283453439642,32.03835340831419,141,98.92792157042834,24.166780125356,35,18.79199349674198,12.511962455375862,1.5226141211904665,2.064830316865853,55.09787347265561
-45.15677504733556,22.942265169046347,0.3860938492383649,1,0.8333439166032964,55.303061822496026,522,98.7804626223759,19.886606585725136,81,26.807552856145055,5.929820915041718,2.216753813158653,3.6229494425805866,113.44729241991195
-53.51026546938676,16.080416190482687,0.25418305694509813,3,0.7124778579677411,55.55171768978662,234,99.61519229312272,23.31715237017162,97,25.192773238887472,4.760314788026131,1.8166529915408,4.378038000160277,97.40540997088
-51.63831073298884,47.04102078059118,0.40192351563374623,1,0.725786161729496,37.60329560647519,885,99.16095889980907,22.406005400535783,65,19.05993961992219,4.3325228660053785,2.6454386637767078,4.603228123925447,72.41418604333391
-51.96054076566079,28.848903060767608,0.48863431575009597,1,0.5806288145755722,49.621493091898834,358,99.22311220594528,17.75764513950878,85,17.533325442463667,11.298297769724142,3.1193108133934224,3.1149381879483196,96.14006320365706
-57.31757474066059,26.540806709528294,0.6599123240836734,3,0.799578351015749,33.63172157847137,290,99.5315954132775,26.190875797084196,78,17.529176766705262,10.423635530259208,2.002534262420707,3.4871987013212635,69.08744160599048
-48.51939861467712,38.89153824787806,0.5673133692232969,2,0.7379833455037085,21.536256836731866,355,99.84318365711195,24.99622101492373,89,20.76849729852327,11.07888774887298,1.1396829971206703,3.323483514640995,67.99952748564738
-48.69472363910055,18.78248897144112,0.5305085404706753,3,0.756730562529226,39.321237730683414,847,99.76285794473195,24.106154968785606,73,27.244554184593667,12.80722031908668,1.5597265892448728,3.6243689289005436,75.29393645478983
-49.974432716787696,22.331359619954476,0.4599880338698869,3,0.8688311811452881,43.83375057738003,593,99.54982797554742,22.07922926503464,38,27.901691464139567,2.8779424084411085,0.978703069446536,4.225016715653859,55.02250176270763
-51.17293566687574,30.68072269248621,0.4416834282744044,2,0.639403701605249,56.44256180810792,887,99.94356293912402,18.301168455115175,87,8.667926301487936,6.396059503092897,2.30949671908541,4.8124761606846365,100.96602666170023
-57.076853710252074,40.287689914234804,0.6405647597507964,3,0.6873858450122682,50.6740808506082,965,100.02195754252179,18.289975799646093,68,29.592300900789656,8.040470211391497,1.526613755420037,4.23440304679506,77.31138487943795
-52.10322661382679,35.01685045168788,0.520073854075839,3,0.7326670921542168,50.93545459386146,172,99.43419632133939,19.850605962825462,34,21.41020226293594,11.996759378196185,1.9203710914913152,4.2659764526645425,62.13106260231426
-51.713572582633844,32.48325142515882,0.2897399308078978,3,0.6064564594541293,39.85578376716415,173,100.33415465786206,26.889617225457975,81,15.12319327419291,10.446446823046081,1.8553225898154708,3.8073661057188453,85.0906745716625
-54.0113863461081,30.781177352360164,0.4326460352102757,1,0.681240117872316,44.69988695958614,734,98.95637660010347,25.588619286097256,36,21.744086677622676,17.900743082934355,2.5648993753989116,2.8280690687287726,81.39823110584992
-50.80642855833005,34.002358555267755,0.4141783968228373,2,0.7492949810466969,40.70073390130839,681,98.73349344433977,12.786860795333903,31,17.866780479467117,6.720613744726137,2.0279903008419784,3.8544621294435784,67.72930795712936
-47.97974571592731,32.016529051292544,0.4453735990822535,2,0.6674578728627169,37.75025992970192,500,100.19169811130674,21.29829108635849,80,30.261605773221696,11.56692566607489,1.864656806433409,3.5749247642309214,88.13889812613894
-40.56907049394735,19.70027725223064,0.5562910660285085,3,0.8308989409729112,44.06300573012743,178,99.14996591499032,7.56409540337599,56,19.102688610873432,12.850750762290396,1.539923271992395,3.312592755307654,73.23652105986785
-49.127110935840804,30.460792216331512,0.4892555118205751,1,0.5489075438183005,50.74512385096334,347,98.16375844817395,17.793299944722417,85,17.217644476276774,14.394141411668098,2.3019560300467092,4.016941780615292,98.77912332695335
-48.71224804638618,19.263113410822474,0.49231345929963377,2,0.8122771240233342,44.273614805757965,286,99.33705199561399,16.614273066170135,64,32.49541836688217,9.384663509481424,1.4494814957255007,2.4372604951255292,60.23661097053875
-50.37222957883083,30.810825429008236,0.6313473161325237,2,0.7661185474816005,46.764973305750274,752,100.11433337371136,22.780330613200082,18,23.99894855070232,6.093204390464269,1.3729938319531478,3.535297338907788,69.50060946145337
-59.59385607649521,25.193520585117586,0.43035389102133115,3,0.6431171412443408,56.94914810911391,909,99.34626408500714,14.559612757950502,63,19.449778598354193,11.96819362320891,1.703195043166756,3.31130524523877,84.80698292672348
-50.132569377246085,55.393816227828616,0.686419952588735,3,0.6075591431770001,44.99245581309297,655,98.61238913139519,12.358286137390687,73,31.264493706128874,10.875382813216783,3.0421593433897014,3.160233613911896,89.27070532925846
-49.69884895029487,29.60105616248288,0.43286924086289136,3,0.4919717382757548,36.660333690121085,858,99.35519644499462,17.505711505594928,48,28.544313161614575,11.726638337133698,1.9504295844432893,4.579495219299035,77.23333901228115
-37.683789437573566,15.957604337384112,0.5089198196612571,2,0.6204824987586166,55.634535216012395,569,99.40715552413248,19.960855638851786,92,18.92620486189135,14.051607507183633,1.9744080441738643,4.124024537653919,95.36040794381397
-50.96180482390561,28.658197893230753,0.4718796404597233,3,0.8047176655002997,52.65849648508284,947,99.33196051832661,11.305587328930018,17,17.973538547762697,9.287221896543514,2.1591916061241134,4.469014046440606,99.83826670723788
-48.49226328833194,35.19358745637888,0.5123419133500962,3,0.6943914273721326,53.28659498172314,837,99.14044428183172,25.68904565638251,36,22.493727023021822,6.884248751377707,2.1163938873020594,4.42805615245599,70.32991289856118
-50.17355884852622,46.733639461525236,0.5444591995073129,3,0.8162980880391841,56.25838657535709,678,99.16415232110955,18.993384518999516,78,21.1890987411764,11.699929551354272,1.89117024737908,3.0139163933963093,85.20533730933253
-55.84339018809766,24.105476000612818,0.5433835240088877,1,0.6380128929375447,54.56641527307945,555,99.86386674929597,20.126440807123455,42,18.441747123414117,10.92423730844828,1.5159253709087055,5.093573011451694,84.99084435464714
-44.2858859274249,14.175720259763601,0.424688266937942,3,0.7707106160106563,50.287286924713044,375,99.21006053258918,25.513106064704562,94,21.90029981883935,9.047956064921706,1.7803118899792374,3.5234260996163247,91.25862045622455
-46.24033483656613,38.16837011430981,0.38770853225524293,2,0.6282501397915577,73.91452662852093,864,99.58070685137722,16.335755774445825,19,30.740904339395684,6.966439148846626,1.896655463434095,5.129331784629249,81.59083149752001
-46.04484026478477,16.19401294100349,0.7503171790905712,3,0.6034424993790161,37.15031253698046,914,99.57892253665196,27.406461075600006,25,27.23256775210995,11.02610872204263,1.2922901178173782,3.6179409908970666,81.26978726755733
-54.5469372739737,25.63844558492515,0.45160156603994467,2,0.6892872782829323,44.13582721511442,891,99.19186441673772,20.02772872295442,20,23.941144415373287,12.56943628614019,1.8921247042265457,2.7269613618049027,70.04737354972272
-42.986028445319505,27.42379514489006,0.5699212438671987,1,0.6335033488680003,59.67334364678167,278,99.12380343048025,23.95987761083227,28,20.296078641829723,5.2260858214630925,2.097701439829435,2.950419995908907,74.80610777370194
-57.009255313961404,29.30366546699892,0.3392358689476803,1,0.5457177850962787,51.425862920955744,890,99.53497552207375,22.21981721808283,73,21.36423320703337,10.131677546016832,1.7320949410788617,4.948690683247527,83.36279749029795
-47.06571453099865,36.89164457074335,0.47203872800953234,3,0.6817685299283006,57.57923034011239,228,98.67385177494573,23.434998144942263,61,25.42097937350116,11.769898402580925,2.6192604612995236,4.544321403303524,83.48900125519509
-39.047721870950106,23.163657177136123,0.4872800616017557,2,0.7106435416431288,51.697564295368714,478,100.4969333923834,20.38010650633013,86,25.017746332112235,15.400807256819554,2.1375630185781334,3.2531809746286444,77.91045026844192
-54.95268162565344,27.262707478332395,0.5472815069927832,3,0.8268358611496067,63.74056551159981,214,99.21364600210715,17.65938120497414,24,22.32695846839845,10.200400954333375,1.6191462151603868,4.218374904485699,61.302685092444825
-52.83148864801386,29.857296470506114,0.2277545859008061,3,0.793680567713306,39.92489144366754,421,99.30468573769552,29.693815001614418,51,27.428588549163315,14.664530107635933,1.7932275446872081,4.971786048685849,74.67355545994423
-49.501743174561796,31.49597957518788,0.516614061307833,2,0.8219943199232831,63.424598894067096,488,99.86828813523131,19.899322717544656,92,16.176649400906683,12.515218907474743,2.6141782901118926,5.6293042253996015,70.63192371854643
